iter	Passed	Remaining
403	8451	16652
404	8472	16631
405	8496	16617
406	8517	16595
407	8537	16573
408	8558	16552
409	8582	16537
410	8605	16520
411	8629	16504
412	8650	16484
413	8674	16468
414	8695	16448
415	8717	16428
416	8740	16412
417	8764	16396
418	8787	16378
419	8808	16358
420	8831	16341
421	8855	16326
422	8878	16309
423	8902	16292
424	8930	16285
425	8959	16278
426	8999	16291
427	9025	16280
428	9049	16264
429	9074	16249
430	9097	16231
431	9121	16215
432	9144	16197
433	9165	16176
434	9188	16159
435	9210	16138
436	9232	16119
437	9253	16098
438	9273	16075
439	9294	16054
440	9318	16038
441	9341	16020
442	9364	16001
443	9385	15980
444	9405	15958
445	9426	15936
446	9448	15916
447	9471	15897
448	9492	15876
449	9513	15855
450	9534	15834
451	9556	15814
452	9577	15793
453	9601	15776
454	9623	15757
455	9645	15738
456	9668	15719
457	9691	15700
458	9715	15684
459	9741	15670
460	9762	15649
461	9783	15628
462	9804	15605
463	9825	15585
464	9849	15567
465	9873	15551
466	9894	15529
467	9918	15513
468	9940	15494
469	9963	15475
470	9985	15455
471	10006	15434
472	10029	15415
473	10051	15395
474	10072	15373
475	10092	15351
476	10113	15329
477	10135	15309
478	10155	15286
479	10176	15264
480	10198	15244
481	10218	15221
482	10239	15200
483	10263	15182
484	10284	15161
485	10305	15140
486	10328	15121
487	10349	15099
488	10369	15077
489	10390	15056
490	10413	15037
491	10434	15015
492	10456	14995
493	10477	14973
494	10497	14951
495	10519	14931
496	10542	14912
497	10564	14891
498	10584	14868
499	10604	14845
500	10625	14825
501	10646	14802
502	10666	14780
503	10685	14755
504	10707	14735
505	10726	14711
506	10748	14691
507	10769	14670
508	10788	14646
509	10807	14621
510	10828	14600
511	10848	14578
512	10871	14558
513	10894	14539
514	10915	14518
515	10936	14497
516	10964	14484
517	10987	14465
518	11009	14446
519	11029	14423
520	11048	14399
521	11074	14384
522	11112	14384
523	11153	14389
524	11188	14384
525	11224	14382
526	11257	14376
527	11291	14370
528	11329	14370
529	11357	14357
530	11378	14335
531	11399	14313
532	11420	14292
533	11440	14268
534	11459	14243
535	11480	14221
536	11536	14243
537	11577	14246
538	11611	14239
539	11636	14222
540	11660	14204
541	11685	14186
542	11708	14166
543	11730	14145
544	11753	14125
545	11775	14104
546	11798	14084
547	11818	14061
548	11839	14038
549	11859	14016
550	11882	13996
551	11903	13973
552	11924	13951
553	11946	13929
554	11967	13908
555	11987	13885
556	12007	13861
557	12027	13838
558	12049	13816
559	12071	13796
560	12093	13775
561	12117	13756
562	12137	13733
563	12159	13711
564	12179	13688
565	12199	13664
566	12218	13640
567	12238	13617
568	12260	13596
569	12282	13575
570	12305	13555
571	12329	13536
572	12350	13513
573	12371	13492
574	12394	13472
575	12415	13450
576	12436	13427
577	12457	13405
578	12480	13385
579	12502	13364
580	12522	13341
581	12544	13320
582	12564	13297
583	12585	13275
