iter	RMSE
368	2931.143285
369	2930.039934
370	2929.438838
371	2928.860715
372	2928.631799
373	2928.110984
374	2926.995882
375	2926.494123
376	2925.468715
377	2924.061232
378	2923.334332
379	2923.025006
380	2922.442411
381	2918.772737
382	2918.545669
383	2918.24062
384	2917.552204
385	2916.359753
386	2914.849513
387	2914.183836
388	2913.941318
389	2911.144925
390	2910.708637
391	2910.024333
392	2909.713439
393	2909.485434
394	2905.261494
395	2903.274476
396	2902.2802
397	2902.064124
398	2901.587132
399	2901.352374
400	2900.978266
401	2900.521292
402	2898.898127
403	2897.420994
404	2894.869472
405	2894.687455
406	2892.872041
407	2891.909577
408	2888.474521
409	2888.281281
410	2887.39221
411	2887.18094
412	2885.458131
413	2885.137603
414	2882.941739
415	2878.631871
416	2877.707195
417	2877.628573
418	2877.101249
419	2876.870607
420	2875.985236
421	2875.134713
422	2874.939019
423	2874.43014
424	2873.817785
425	2872.934947
426	2872.264253
427	2870.928984
428	2870.428141
429	2869.158237
430	2868.976399
431	2868.538865
432	2867.597905
433	2865.48044
434	2865.013479
435	2863.744507
436	2862.458169
437	2862.177503
438	2861.889463
439	2861.737419
440	2861.636739
441	2859.874884
442	2859.588742
443	2858.57743
444	2858.132031
445	2857.754351
446	2857.191056
447	2855.417143
448	2855.324239
449	2853.35522
450	2853.272189
451	2853.011442
452	2852.571215
453	2852.126213
454	2851.951778
455	2850.687672
456	2849.875986
457	2849.528919
458	2849.356633
459	2849.176778
460	2848.391644
461	2848.334091
462	2847.775322
463	2847.494184
464	2846.360898
465	2845.981843
466	2845.813006
467	2845.418367
468	2844.983411
469	2844.549388
470	2843.117779
471	2842.930041
472	2842.727138
473	2842.02174
474	2841.193616
475	2839.963867
476	2839.879891
477	2839.213967
478	2839.023573
479	2837.672322
480	2836.079385
481	2835.558783
482	2835.181218
483	2834.592423
484	2833.20766
485	2833.043868
486	2831.4529
487	2831.097881
488	2829.825882
489	2829.430766
490	2828.517267
491	2827.833744
492	2827.386376
493	2826.945769
494	2826.556537
495	2826.173605
496	2825.99921
497	2825.109748
498	2824.762618
499	2824.586627
500	2823.478726
501	2822.526963
502	2821.478913
503	2820.79108
504	2820.646475
505	2820.297702
506	2820.189292
507	2819.76193
508	2818.691368
509	2818.284745
510	2817.101938
511	2816.98823
512	2814.864184
513	2814.610858
514	2813.830521
515	2813.57723
516	2813.182601
517	2813.051018
518	2812.405749
519	2812.244295
520	2811.40232
521	2810.656276
522	2810.511914
523	2809.966068
524	2808.282195
525	2807.538312
526	2807.195972
527	2805.824341
528	2804.757315
529	2803.977294
530	2803.527628
531	2803.128417
532	2802.05262
533	2801.984867
534	2800.872008
535	2799.952842
536	2799.483309
537	2798.738513
538	2798.430303
539	2798.29912
540	2798.069037
541	2797.148838
542	2796.100678
543	2796.064653
544	2795.149883
545	2794.721035
546	2794.350375
547	2793.225944
548	2792.492292
549	2792.124518
550	2791.990023
551	2791.429865
552	2790.843286
553	2789.843883
554	2787.635391
555	2786.609524
556	2786.426029
557	2784.987386
558	2784.22999
559	2783.443784
560	2782.343266
561	2780.476578
562	2779.62254
563	2779.352153
564	2777.925683
565	2777.750514
566	2776.998339
567	2776.11398
568	2775.498014
569	2774.844931
570	2773.44887
571	2773.338169
572	2772.580003
573	2772.451971
574	2771.529857
575	2770.670412
576	2769.132596
577	2768.969381
578	2768.822749
579	2766.273941
580	2766.203566
581	2765.067602
582	2764.565164
583	2763.122634
584	2763.002156
585	2761.641162
586	2759.931696
587	2758.891659
588	2757.842603
589	2756.91537
590	2756.570032
591	2755.817231
592	2755.060081
593	2753.897792
594	2753.568477
595	2752.972847
596	2752.125084
597	2751.545506
598	2751.138946
599	2750.220863
600	2749.265115
601	2747.758261
602	2747.340487
603	2747.227509
604	2747.098414
605	2746.957155
606	2746.894512
607	2746.757214
608	2744.190453
609	2743.252627
610	2742.431812
611	2742.357302
612	2741.404919
613	2740.536741
614	2739.444373
615	2737.674322
616	2737.604276
617	2737.533201
618	2737.454348
619	2737.214793
620	2736.862116
621	2734.948088
622	2733.785471
623	2733.771664
624	2733.707007
625	2733.651411
626	2731.558238
627	2731.470572
628	2730.748479
629	2730.674181
630	2730.661923
631	2730.234137
632	2730.127354
633	2729.429729
634	2729.34731
635	2728.271299
636	2728.101711
637	2727.957675
638	2727.700405
639	2727.043201
640	2726.857292
641	2726.236679
642	2725.898423
643	2725.86713
644	2725.85159
645	2725.130184
646	2723.359709
647	2723.239582
648	2723.123523
649	2722.425958
650	2720.963736
651	2720.405727
652	2719.373427
653	2718.947131
654	2716.591837
655	2715.989661
656	2715.201484
657	2714.140203
658	2713.905173
659	2712.622459
660	2712.13365
661	2711.563395
662	2711.083163
663	2710.543532
664	2709.495842
665	2709.032902
666	2708.528172
667	2706.559405
668	2706.261612
669	2705.265238
670	2704.554317
671	2704.266765
672	2703.997971
673	2702.12379
674	2701.96368
675	2700.581104
676	2700.075909
677	2699.071983
678	2698.683731
679	2697.733156
680	2697.094278
681	2696.923526
682	2696.569782
683	2696.341303
684	2695.36613
685	2694.884221
686	2694.340651
687	2693.883964
688	2691.660159
689	2690.757881
690	2689.815212
691	2688.185101
692	2687.696826
693	2687.291196
694	2687.071055
695	2686.623362
696	2686.140898
697	2685.807209
698	2684.525698
699	2684.433438
700	2684.343009
701	2683.870312
702	2683.691452
703	2683.491567
704	2682.80633
705	2682.707633
706	2682.131156
707	2681.788536
708	2680.825611
709	2680.273007
710	2679.529518
711	2679.226317
712	2677.699932
713	2677.328409
714	2677.241402
715	2676.916355
716	2676.071902
717	2675.318201
718	2674.553567
719	2674.361008
720	2674.185105
721	2673.869241
722	2673.754434
723	2673.647537
724	2673.336935
725	2673.276787
726	2673.004005
727	2672.717708
728	2672.367532
729	2671.725034
730	2671.078077
731	2670.35768
732	2668.795492
733	2668.52598
734	2667.58777
735	2667.400358
736	2665.385766
737	2663.286573
738	2662.889783
739	2662.743303
740	2661.867005
741	2661.419655
742	2660.354746
743	2660.224049
744	2659.777332
745	2659.671547
746	2658.475503
747	2657.40163
748	2656.872724
749	2656.13147
750	2656.025731
751	2655.360211
752	2654.165628
753	2653.902506
754	2653.825004
755	2653.168264
756	2652.128933
757	2651.104774
758	2650.976651
759	2650.858856
760	2650.772314
761	2649.776136
762	2649.743942
763	2649.091331
764	2648.486174
765	2648.114185
766	2648.058829
767	2647.801882
768	2647.69139
769	2646.930353
770	2646.240256
771	2645.065207
772	2644.267177
773	2643.743427
774	2643.483906
775	2643.390328
776	2642.931331
777	2642.438478
778	2641.345034
779	2640.285494
780	2640.076426
781	2639.89766
782	2639.434988
783	2638.875364
784	2637.869458
785	2637.746346
786	2637.172843
787	2636.379979
788	2635.626228
789	2635.337134
790	2634.772451
791	2634.331872
792	2634.230657
793	2633.975243
794	2633.336743
795	2633.262663
796	2632.688208
797	2632.410509
798	2632.352134
799	2630.768722
800	2630.580444
801	2630.528185
802	2630.272613
803	2628.774322
804	2628.355012
805	2627.179886
806	2626.411224
807	2625.720657
808	2625.591885
809	2625.182963
810	2623.900632
811	2622.805557
812	2621.921208
813	2620.883542
814	2619.990378
815	2619.860509
816	2619.169195
817	2618.55079
818	2617.794473
819	2617.207374
820	2617.193248
821	2616.502469
822	2616.428105
823	2616.315668
824	2615.818993
825	2615.689585
826	2615.150305
827	2615.018657
828	2614.465698
829	2613.63956
830	2612.958642
831	2612.301545
832	2610.906012
833	2609.904266
834	2609.284003
835	2608.650137
836	2608.308522
837	2607.947514
838	2607.718721
839	2605.498562
840	2603.39851
841	2603.321505
842	2602.054174
843	2601.904103
844	2600.683684
845	2600.590175
846	2599.709469
847	2598.745871
848	2598.39853
849	2598.161742
850	2598.027115
851	2597.08388
852	2596.476762
853	2595.427831
854	2595.31362
855	2594.814585
856	2594.682238
857	2593.881927
858	2593.230015
859	2592.67321
860	2591.914279
861	2591.222109
862	2591.19021
863	2590.577477
864	2589.220521
865	2589.112897
866	2588.414149
867	2587.831036
868	2587.373108
869	2587.282712
870	2586.113965
871	2585.990316
872	2585.090857
873	2584.936213
874	2584.393389
875	2583.384996
876	2583.116915
877	2582.186547
878	2582.177994
879	2581.643967
880	2580.426343
881	2579.440153
882	2578.854005
883	2578.738218
884	2578.347886
885	2578.104992
886	2577.354402
887	2577.205989
888	2576.787404
889	2575.813227
890	2575.633155
891	2575.409598
892	2574.911897
893	2574.896118
894	2574.771393
895	2574.244446
896	2574.030776
897	2573.87631
898	2572.740408
899	2572.488884
900	2572.262173
901	2571.587859
902	2570.770044
903	2570.138806
904	2569.86199
905	2568.373458
906	2567.374858
907	2567.147025
908	2566.979287
909	2566.016498
910	2565.46646
911	2564.724342
912	2564.550777
913	2564.074921
914	2562.739957
915	2561.568402
916	2560.253104
917	2559.763631
918	2559.544735
919	2558.229833
920	2557.525292
921	2557.510865
922	2557.230577
923	2557.120687
924	2556.593694
925	2555.808931
926	2554.789597
927	2554.072794
928	2553.972933
929	2553.967328
930	2553.464823
931	2552.309712
932	2551.501073
933	2550.392072
934	2549.902255
935	2549.574532
936	2549.432844
937	2549.109035
938	2548.454561
939	2547.172208
940	2546.440751
941	2545.757725
942	2545.317937
943	2543.579633
944	2543.307648
945	2543.226357
946	2543.033738
947	2542.497089
948	2541.480891
949	2541.053434
950	2540.862369
951	2539.762322
952	2539.417693
953	2538.626601
954	2538.021341
955	2537.937641
956	2537.372134
957	2536.375536
958	2536.346699
959	2535.494569
960	2535.015328
961	2534.298243
962	2533.912926
963	2533.421167
964	2533.344228
965	2533.239267
966	2533.108279
967	2532.514277
968	2531.891584
969	2531.689592
970	2531.355571
971	2531.255111
972	2530.913926
973	2530.804843
974	2530.669377
975	2529.922591
976	2529.420515
977	2529.325475
978	2528.441399
979	2527.885914
980	2527.13634
981	2527.11957
982	2526.988474
983	2526.554093
984	2526.441833
985	2526.350932
986	2525.838223
987	2525.443817
988	2524.802372
989	2523.650608
990	2522.750476
991	2522.093384
992	2521.756583
993	2521.284437
994	2521.174791
995	2520.807911
996	2520.400852
997	2519.338757
998	2519.016036
999	2517.408623
1000	2517.209968
1001	2516.696032
1002	2516.234424
1003	2514.91054
1004	2514.662467
1005	2514.362465
1006	2513.631059
1007	2512.763891
1008	2511.750853
1009	2511.467406
1010	2511.363309
1011	2509.920884
1012	2509.801249
1013	2509.79103
1014	2509.505871
1015	2509.328181
1016	2508.632549
1017	2508.055331
1018	2508.050997
1019	2507.444692
1020	2507.359719
1021	2507.245515
1022	2506.945623
1023	2506.512944
1024	2506.333011
1025	2506.317057
1026	2506.1329
1027	2506.044324
1028	2505.887377
1029	2505.559546
1030	2504.52373
1031	2504.400866
1032	2504.238126
1033	2504.042054
1034	2503.814946
1035	2502.832607
1036	2502.358351
1037	2501.224631
1038	2501.139903
1039	2500.339619
1040	2500.171132
1041	2499.906847
1042	2499.623035
1043	2499.090002
1044	2498.696028
1045	2498.683489
1046	2498.454081
1047	2498.289071
1048	2498.057354
1049	2497.921726
1050	2497.209377
1051	2496.990219
1052	2496.775522
1053	2495.550792
1054	2494.535652
1055	2493.680615
1056	2493.379091
1057	2492.459045
1058	2492.4522
1059	2492.249029
1060	2492.007914
1061	2491.992448
1062	2491.881965
1063	2491.296984
1064	2490.764918
1065	2490.085906
1066	2489.46529
1067	2489.295766
1068	2488.976013
1069	2488.427535
1070	2488.241859
1071	2488.148699
1072	2488.023834
1073	2487.526442
1074	2487.32659
1075	2486.872369
1076	2486.273574
1077	2485.020099
1078	2484.518028
1079	2484.511571
1080	2484.291213
1081	2483.572462
1082	2483.136312
1083	2482.737786
1084	2482.64608
1085	2482.326084
1086	2482.127573
1087	2481.733987
1088	2480.693165
1089	2480.676977
1090	2480.454327
1091	2480.303019
1092	2479.780531
1093	2479.203282
1094	2476.905853
1095	2476.674691
1096	2476.397568
1097	2475.180991
1098	2474.43653
1099	2473.390889
1100	2472.767744
1101	2472.390766
1102	2471.691405
1103	2471.462033
1104	2471.239489
1105	2470.798642
1106	2470.532811
1107	2470.150734
1108	2469.491225
1109	2469.333134
1110	2468.594895
1111	2468.015906
1112	2467.308845
1113	2467.294158
1114	2466.966671
1115	2466.386179
1116	2465.276023
1117	2464.696192
1118	2464.280341
1119	2463.768717
1120	2463.036587
1121	2462.997842
1122	2462.446807
1123	2461.117998
1124	2460.902438
1125	2460.081646
1126	2459.784323
1127	2459.523258
1128	2457.544891
1129	2457.427004
1130	2457.200901
1131	2456.95317
1132	2456.739171
1133	2456.176465
1134	2455.779919
1135	2455.016102
1136	2453.738936
1137	2453.067946
1138	2452.137251
1139	2451.994391
1140	2451.540516
1141	2451.185418
1142	2450.950252
1143	2450.902259
1144	2450.744756
1145	2450.525839
1146	2450.018572
1147	2449.926407
1148	2449.883222
1149	2449.788374
1150	2449.707642
1151	2449.198759
1152	2448.698041
1153	2448.369618
1154	2447.665713
1155	2446.920506
1156	2446.736822
1157	2445.457167
1158	2445.155107
1159	2444.615325
1160	2443.84459
1161	2443.372472
1162	2442.647931
1163	2441.929034
1164	2440.926318
1165	2440.514346
1166	2440.310242
1167	2439.952239
1168	2439.494751
1169	2438.430258
1170	2438.160273
1171	2438.054332
1172	2437.057374
1173	2435.784304
1174	2435.057797
1175	2434.093503
1176	2433.34656
1177	2433.094936
1178	2432.559084
1179	2432.123939
1180	2431.984004
1181	2431.566954
1182	2431.077264
1183	2430.92785
1184	2430.627148
1185	2430.384371
1186	2429.786959
1187	2427.367565
1188	2427.002408
1189	2426.841368
1190	2426.436467
1191	2426.362528
1192	2425.876255
1193	2425.479679
1194	2424.887504
1195	2424.232814
1196	2423.414361
1197	2423.254467
1198	2422.906337
1199	2421.736867
