Bed,Bath,Month,SubArea,Region,PropertyType
0,1,9,Dhaka Uddan Housing,Dhaka,Sublet
2,1,6,Bania Khamar,Khulna,Family
1,1,10,Baharampur,Rajshahi,Family
2,1,7,Jamalpur Sadar,Mymensingh,Family
1,1,7,Bania Khamar,Khulna,Family
2,2,8,Kolatoli,Chittagong,Family
1,1,9,Dhanmondi 15,Dhaka,Bachelor Seat
1,1,9,Moulvibazar Sadar,Sylhet,Family
2,2,6,Tootpara,Khulna,Family
2,1,7,Kachijhuli,Mymensingh,Family
2,2,12,Kashipur,Barishal,Family
1,1,10,Badda DIT Project,Dhaka,Bachelor Room
1,1,9,Mirpur,Dhaka,Bachelor Seat
4,3,5,Moulvibazar Sadar,Sylhet,Family
3,3,10,Chandrima Model Town,Dhaka,Family
1,1,9,Rajshahi Sadar,Rajshahi,Family
2,2,8,Nowdapara,Rajshahi,Family
0,1,9,Keraniganj,Dhaka,Sublet
4,3,9,Dhaka Uddan Housing,Dhaka,Family
1,1,7,New Market,Rajshahi,Family
0,1,10,Agargaon,Dhaka,Sublet
3,3,7,Baijid bostami,Chittagong,Family
0,1,10,Kazipara,Dhaka,Sublet
2,2,4,Barisal Sadar,Barishal,Family
2,2,8,Pabna Sadar,Rajshahi,Family
2,1,8,Pahartali,Chittagong,Family
2,2,8,Hatem Khan,Rajshahi,Family
2,1,8,Patuakhali Sadar,Barishal,Other
3,2,11,Rangpur Sadar,Rangpur,Family
1,1,8,Nilkhet,Dhaka,Bachelor Seat
1,1,8,West Rampura,Dhaka,Bachelor Seat
2,1,8,Kandi Para,Chittagong,Family
1,1,9,Banasree,Dhaka,Bachelor Seat
3,3,9,Sonadanga,Khulna,Family
1,1,6,Rangpur Sadar,Rangpur,Bachelor Room
0,1,9,Mirpur 6,Dhaka,Sublet
1,1,9,Azimpur,Dhaka,Bachelor Seat
2,1,8,Chandpur Sadar,Chittagong,Family
2,1,9,Satkhira Sadar,Khulna,Family
2,1,10,Habiganj Sadar,Sylhet,Family
1,1,7,Khorki,Khulna,Bachelor Room
1,1,9,Banasree,Dhaka,Family
2,2,9,Gulshan 2,Dhaka,Family
1,1,7,North Mourail,Chittagong,Bachelor Room
1,1,8,Mohakhali,Dhaka,Bachelor Seat
3,1,2,Rangpur Sadar,Rangpur,Family
2,2,4,Dinajpur Sadar,Rangpur,Family
1,1,10,Azimpur,Dhaka,Bachelor Seat
3,2,4,Barisal Sadar,Barishal,Family
1,1,9,Aftab Nagar,Dhaka,Bachelor Seat
2,1,6,Rangpur Sadar,Rangpur,Family
2,1,9,Dinajpur Sadar,Rangpur,Family
2,2,7,Jessore Sadar,Khulna,Family
3,2,6,Jessore Sadar,Khulna,Family
1,1,9,Noakhali Sadar,Chittagong,Bachelor Seat
2,1,9,Dingadoba,Rajshahi,Family
3,2,9,Khulna Sadar,Khulna,Family
3,2,9,Bhadra,Rajshahi,Family
1,1,1,Barisal Sadar,Barishal,Family
2,1,9,Ganeshpur,Rangpur,Family
1,1,9,Mirpur,Dhaka,Bachelor Seat
3,2,9,Pahartali,Chittagong,Family
1,1,7,Payra,Sylhet,Bachelor Seat
3,2,7,College Para,Chittagong,Family
1,1,9,Rosulbag,Dhaka,Bachelor Seat
1,1,1,Habiganj Sadar,Sylhet,Bachelor Seat
2,2,10,Mirpur,Dhaka,Family
2,2,8,Mymensingh Sadar,Mymensingh,Family
2,2,2,Barisal Sadar,Barishal,Family
3,3,8,Dhaka Uddan Housing,Dhaka,Family
1,1,7,Comilla Sadar,Chittagong,Bachelor Seat
2,2,10,Rajshahi Sadar,Rajshahi,Family
1,1,7,Kotwali,Chittagong,Family
2,1,8,Sylhet Sadar,Sylhet,Family
3,2,8,Kachijhuli,Mymensingh,Family
3,2,3,Rangpur Sadar,Rangpur,Family
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
2,1,10,Kallyanpur,Dhaka,Family
2,1,8,Kamar Para,Rangpur,Family
1,1,8,Azimpur,Dhaka,Bachelor Seat
3,3,8,Baliapukur,Rajshahi,Family
2,2,2,Moulvibazar Sadar,Sylhet,Family
1,1,10,Rangpur Sadar,Rangpur,Family
0,1,9,Shonir Akhra,Dhaka,Sublet
2,2,8,Taraboniar Chara,Chittagong,Family
2,1,8,Dhormotola,Khulna,Other
2,2,10,Sylhet Sadar,Sylhet,Family
1,1,8,Mohammadpur,Dhaka,Bachelor Seat
3,3,5,Chandgaon,Chittagong,Family
0,1,9,Bashundhara R.A,Dhaka,Sublet
1,1,4,Rangpur Sadar,Rangpur,Bachelor Room
1,1,9,Habiganj Sadar,Sylhet,Bachelor Seat
1,1,10,Pallabi,Dhaka,Bachelor Seat
1,1,7,Bornali,Rajshahi,Bachelor Room
1,1,9,Mohammadia Housing Society,Dhaka,Bachelor Seat
1,1,6,Khulna Sadar,Khulna,Family
1,1,12,Ambarkhana,Sylhet,Family
0,1,8,Bahaddarhat,Chittagong,Sublet
0,1,10,Sylhet Sadar,Sylhet,Sublet
0,1,9,Chandrima Model Town,Dhaka,Sublet
3,2,9,Naogaon Sadar,Rajshahi,Family
2,1,9,Moulvibazar Sadar,Sylhet,Family
3,2,8,Magura Sadar,Khulna,Family
2,2,8,Sonadanga,Khulna,Family
2,2,2,Rangpur Sadar,Rangpur,Family
0,1,9,Mohammadpur,Dhaka,Room
1,1,7,Tikapara,Rajshahi,Family
3,2,3,Charpara,Mymensingh,Family
2,1,6,Kawnia,Barishal,Family
0,1,8,Khulshi RA,Chittagong,Room
0,1,10,Mirpur,Dhaka,Sublet
1,1,8,Kulshi,Chittagong,Bachelor Seat
2,2,9,Kazla,Rajshahi,Family
0,1,6,Fakirpara,Rangpur,Sublet
2,2,7,Mulatol,Rangpur,Family
2,1,9,Kalibari Rd,Barishal,Family
1,1,8,Barisal Sadar,Barishal,Bachelor Seat
2,1,9,Bank Town,Dhaka,Family
2,2,9,Dhaka Uddan Housing,Dhaka,Family
3,1,8,Bornali,Rajshahi,Family
2,2,9,Khulna Sadar,Khulna,Family
3,3,9,Sector 4,Dhaka,Family
1,1,9,Nikunja 2,Dhaka,Bachelor Room
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
1,1,3,Kulshi,Chittagong,Bachelor Seat
3,2,4,Mymensingh Sadar,Mymensingh,Family
1,1,9,Mohammadpur,Dhaka,Bachelor Seat
1,1,9,Mohammadpur,Dhaka,Bachelor Seat
1,1,8,Sonadanga,Khulna,Bachelor Seat
2,2,10,Khulna Sadar,Khulna,Family
1,1,9,Nathullabad,Barishal,Bachelor Seat
2,2,9,Kurpar,Mymensingh,Family
2,2,8,Nathullabad,Barishal,Family
2,1,3,Barisal Sadar,Barishal,Family
3,3,10,Cantonment,Dhaka,Family
1,1,9,Mohakhali,Dhaka,Bachelor Seat
1,1,9,Rajshahi Sadar,Rajshahi,Bachelor Seat
1,1,6,Mulatol,Rangpur,Family
2,1,9,Manda,Dhaka,Family
2,2,9,Kawlar,Dhaka,Family
2,2,7,Narail Sadar,Khulna,Family
1,1,7,Tootpara,Khulna,Family
1,1,8,Mohakhali,Dhaka,Bachelor Seat
1,1,8,Badda,Dhaka,Bachelor Seat
2,1,6,Kurpar,Mymensingh,Family
1,1,7,Muradpur,Chittagong,Bachelor Seat
2,2,4,Rupatali,Barishal,Family
0,1,9,Adabor,Dhaka,Sublet
2,2,9,Sector 4,Dhaka,Family
2,2,2,Rangpur Sadar,Rangpur,Family
2,2,7,Nirala,Khulna,Family
1,1,10,Barisal Sadar,Barishal,Family
1,1,7,Rangpur Sadar,Rangpur,Family
1,1,8,Senbari,Mymensingh,Bachelor Room
1,1,7,Jessore Sadar,Khulna,Bachelor Room
1,1,9,Sylhet Sadar,Sylhet,Bachelor Room
1,1,9,Mymensingh Sadar,Mymensingh,Family
3,1,9,Bangla Bazar,Barishal,Family
1,1,9,Mouchak,Dhaka,Bachelor Seat
2,2,7,Chandpur Sadar,Chittagong,Family
2,1,6,Khulna Sadar,Khulna,Family
2,1,6,Rahman Nagar,Chittagong,Family
1,1,5,Cox's Bazar Sadar,Chittagong,Family
2,2,2,Barisal Sadar,Barishal,Family
2,2,9,Habiganj Sadar,Sylhet,Family
1,1,9,Nathullabad,Barishal,Family
1,1,6,Barisal Sadar,Barishal,Family
2,2,8,Sylhet Sadar,Sylhet,Bachelor Seat
0,1,10,Rahman Nagar,Rajshahi,Sublet
1,1,9,Gollamari,Khulna,Family
1,1,8,Shankipara,Mymensingh,Bachelor Seat
1,1,2,Amtola,Barishal,Family
1,1,8,Nikunja 2,Dhaka,Bachelor Seat
1,1,8,Banasree,Dhaka,Bachelor Room
2,2,9,Rangpur Sadar,Rangpur,Family
1,1,8,Laxmipur,Rajshahi,Family
1,1,9,Rajnagar,Sylhet,Bachelor Seat
1,1,4,Senbari,Mymensingh,Family
2,1,5,Boshirpara,Rangpur,Family
3,3,10,North Badda,Dhaka,Family
0,1,9,Malibag,Dhaka,Sublet
2,2,9,Sonadanga,Khulna,Family
3,3,3,Sylhet Sadar,Sylhet,Family
3,1,7,Senbari,Mymensingh,Family
0,1,10,Rupnagar,Dhaka,Sublet
1,1,8,Kawtoli,Chittagong,Bachelor Room
1,1,9,Sobhanbagh,Dhaka,Bachelor Seat
2,2,9,Rajshahi Sadar,Rajshahi,Family
1,1,9,Nikunja 2,Dhaka,Bachelor Room
2,2,9,Bosepara,Mymensingh,Family
1,1,8,Tejgaon,Dhaka,Bachelor Seat
0,1,8,Moulvibazar Sadar,Sylhet,Sublet
0,1,10,Bank Colony,Dhaka,Sublet
0,1,10,Dhanmondi 15,Dhaka,Sublet
2,1,8,Mohammadpur,Dhaka,Family
2,2,9,Banasree,Dhaka,Family
2,2,9,Uposhohor,Rajshahi,Family
1,1,9,Mirpur 10,Dhaka,Bachelor Seat
1,1,8,Kawtoli,Chittagong,Other
2,1,9,Polash Para,Khulna,Family
1,1,9,Sipaipara,Rajshahi,Family
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
2,2,9,New Jummapara,Rangpur,Family
2,1,12,Moulvibazar Sadar,Sylhet,Family
2,1,12,Ashratpur,Rangpur,Family
1,1,8,Aqua,Mymensingh,Bachelor Room
1,1,8,Barguna Sadar,Barishal,Bachelor Seat
2,1,10,Bogra Sadar,Rajshahi,Family
0,1,8,Khulshi RA,Chittagong,Room
1,1,9,Sonadanga,Khulna,Bachelor Seat
1,1,8,Rajshahi Sadar,Rajshahi,Bachelor Seat
1,1,10,Upashahar,Sylhet,Bachelor Seat
2,1,5,Rupatali,Barishal,Family
1,1,9,Jafrabad,Dhaka,Bachelor Seat
3,1,7,Noakhali Sadar,Chittagong,Family
1,1,9,Boalia,Rajshahi,Bachelor Seat
1,1,6,Kazipara,Barishal,Bachelor Seat
2,2,6,Cox's Bazar Sadar,Chittagong,Family
2,1,7,Vatikashor,Mymensingh,Family
1,1,10,Nikunja 2,Dhaka,Bachelor Seat
0,1,10,Moghbazar,Dhaka,Sublet
2,3,10,Mohammadia Housing Society,Dhaka,Family
1,1,8,Moulovipara,Khulna,Family
1,1,12,Barisal Sadar,Barishal,Family
2,1,7,Ambarkhana,Sylhet,Family
3,1,8,Taraboniar Chara,Chittagong,Family
0,1,8,Habiganj Sadar,Sylhet,Sublet
2,2,9,Mirpur 1,Dhaka,Bachelor Room
0,1,9,Chandrima Model Town,Dhaka,Sublet
1,1,9,Mymensingh Sadar,Mymensingh,Family
3,2,9,Naogaon Sadar,Rajshahi,Family
2,1,11,Subid Bazar,Sylhet,Family
1,1,9,Malibag,Dhaka,Bachelor Seat
2,2,9,Mohammadpur,Dhaka,Family
3,3,8,Dhanmondi 15,Dhaka,Family
3,3,4,Mira Bazar,Sylhet,Family
1,1,9,Mohakhali,Dhaka,Bachelor Room
2,2,10,Kamal Kachna,Rangpur,Family
0,1,9,Khilkhet,Dhaka,Sublet
2,2,5,Sylhet Sadar,Sylhet,Family
2,1,8,Moulvibazar Sadar,Sylhet,Family
1,1,9,Kachijhuli,Mymensingh,Bachelor Seat
1,1,10,Mirpur 1,Dhaka,Bachelor Room
1,1,9,Mirpur 1,Dhaka,Bachelor Seat
2,2,7,Chachra,Khulna,Family
2,1,7,Koroitola,Rajshahi,Family
1,1,10,Badda DIT Project,Dhaka,Bachelor Room
2,1,9,Habiganj Sadar,Sylhet,Family
1,1,5,Sylhet Sadar,Sylhet,Bachelor Seat
0,1,7,Boyra,Khulna,Sublet
2,1,2,Sagardi,Barishal,Family
1,1,9,Mirpur 12,Dhaka,Family
1,1,9,Moulvibazar Sadar,Sylhet,Bachelor Room
2,2,9,Tootpara,Khulna,Family
2,2,8,Mulatol,Rangpur,Family
1,1,9,Barisal Sadar,Barishal,Bachelor Room
3,2,9,Kachijhuli,Mymensingh,Family
1,1,10,Kalabagan,Dhaka,Bachelor Seat
1,1,8,Bosila,Dhaka,Bachelor Room
2,1,12,Moulvibazar Sadar,Sylhet,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Seat
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
1,1,8,Natun Bazar,Dhaka,Bachelor Room
3,2,10,Mohammadpur,Dhaka,Family
1,1,10,Zigatola,Dhaka,Bachelor Seat
3,3,6,Charpara,Mymensingh,Family
2,2,8,Hamdah,Khulna,Family
3,2,9,Dinajpur Sadar,Rangpur,Family
1,1,9,Balapara,Rangpur,Family
1,1,3,New Jummapara,Rangpur,Family
0,1,10,Azimpur,Dhaka,Sublet
1,1,9,College Road,Mymensingh,Bachelor Room
2,2,12,Sylhet Sadar,Sylhet,Family
1,1,10,Moulvibazar Sadar,Sylhet,Bachelor Room
1,1,8,Dhanmondi,Dhaka,Bachelor Room
1,1,8,Rangpur Sadar,Rangpur,Other
1,1,8,Arambag,Dhaka,Bachelor Seat
2,2,9,Khulna Sadar,Khulna,Family
2,2,2,Patuakhali Sadar,Barishal,Family
0,1,8,Brahmanbaria Sadar,Chittagong,Sublet
1,1,9,Gulbagh,Dhaka,Bachelor Seat
1,1,8,Kulshi,Chittagong,Family
1,1,9,Uposhohor,Rajshahi,Family
1,1,9,Mirpur 6,Dhaka,Bachelor Seat
1,1,11,Barisal Sadar,Barishal,Bachelor Room
1,1,5,Cox's Bazar Sadar,Chittagong,Family
1,1,10,Dhanmondi,Dhaka,Bachelor Seat
3,2,9,Khalifa Para,Rangpur,Family
2,1,6,Cox's Bazar Sadar,Chittagong,Family
3,2,9,Bottola,Barishal,Family
2,1,9,Moulvibazar Sadar,Sylhet,Family
0,1,6,Bahaddarhat,Chittagong,Sublet
1,1,6,Kulshi,Chittagong,Bachelor Room
1,1,8,Rosulbag,Dhaka,Bachelor Seat
1,1,9,West Rajarbazar,Dhaka,Family
0,1,8,Aftab Nagar,Dhaka,Room
2,1,7,Baharampur,Rajshahi,Family
1,1,10,Mymensingh Sadar,Mymensingh,Family
0,1,9,Bashundhara R.A,Dhaka,Bachelor Seat
2,2,10,Rangpur Sadar,Rangpur,Family
1,1,9,Banasree,Dhaka,Bachelor Seat
1,1,10,Bashundhara R.A,Dhaka,Bachelor Room
1,1,9,Kaderabad Housing Society,Dhaka,Bachelor Seat
1,1,11,Sylhet Sadar,Sylhet,Bachelor Seat
0,1,9,Azimpur,Dhaka,Sublet
1,1,8,Sector 10,Dhaka,Bachelor Seat
2,2,6,Sonadanga,Khulna,Family
1,1,9,Zigatola,Dhaka,Bachelor Seat
2,1,9,Adabor,Dhaka,Other
3,2,9,Badda,Dhaka,Family
1,1,10,Sylhet Sadar,Sylhet,Bachelor Seat
1,1,2,Barisal Sadar,Barishal,Bachelor Seat
1,1,9,Rosulbag,Dhaka,Bachelor Seat
3,2,8,Cox's Bazar Sadar,Chittagong,Family
2,2,6,Borobari,Sylhet,Family
2,2,10,Rajshahi Sadar,Rajshahi,Family
2,2,10,Rangpur Sadar,Rangpur,Family
5,2,12,Alomnagar,Rangpur,Family
1,1,12,Rangpur Sadar,Rangpur,Bachelor Seat
2,2,8,Hathazari,Chittagong,Family
1,1,9,West Rampura,Dhaka,Bachelor Room
1,1,9,Laxmipur,Rajshahi,Bachelor Seat
2,1,8,Cox's Bazar Sadar,Chittagong,Family
2,2,3,Rangpur Sadar,Rangpur,Family
1,1,10,Tejgaon,Dhaka,Bachelor Seat
1,1,9,Gulbagh,Dhaka,Bachelor Room
3,2,3,Naumahal,Mymensingh,Family
0,1,10,Nurer Chala,Dhaka,Sublet
2,1,8,Rajshahi Sadar,Rajshahi,Family
1,1,11,Habiganj Sadar,Sylhet,Other
1,1,10,Vatikashor,Mymensingh,Family
1,1,5,Mymensingh Sadar,Mymensingh,Other
1,1,9,Sylhet Sadar,Sylhet,Bachelor Seat
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
4,2,2,Sylhet Sadar,Sylhet,Family
2,1,8,Kachijhuli,Mymensingh,Family
2,1,9,Noyanagor,Dhaka,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
2,2,6,Sheroil,Rajshahi,Family
2,2,9,Ati,Dhaka,Family
1,1,9,Azimpur,Dhaka,Bachelor Seat
1,1,9,Ananda Bazar,Mymensingh,Family
1,1,9,Shahjadpur,Dhaka,Bachelor Seat
0,1,9,Tejgaon,Dhaka,Sublet
1,1,9,Moylapota,Khulna,Bachelor Seat
2,2,9,Habiganj Sadar,Sylhet,Family
0,1,9,Brahmanbaria Sadar,Chittagong,Sublet
0,1,9,Mohakhali,Dhaka,Sublet
1,1,7,Kazla,Rajshahi,Bachelor Room
1,1,8,Jafrabad,Dhaka,Bachelor Seat
1,1,8,Baharampur,Rajshahi,Family
2,1,7,Rumaliar Chara,Chittagong,Family
2,1,6,Moddopara,Chittagong,Family
3,2,8,Zinnahnagor,Rajshahi,Family
3,2,6,Sholoshohor,Chittagong,Family
1,1,9,Badda DIT Project,Dhaka,Bachelor Seat
1,1,7,Boyra,Khulna,Family
1,1,5,Kulshi,Chittagong,Bachelor Room
1,1,8,Jessore Sadar,Khulna,Family
2,1,9,Barguna Sadar,Barishal,Bachelor Seat
2,1,9,Mohammadpur,Dhaka,Family
2,2,11,Khadim Para,Sylhet,Family
2,1,8,Rajshahi Sadar,Rajshahi,Family
2,1,8,Mohammadpur,Dhaka,Family
1,1,10,Mohammadpur,Dhaka,Bachelor Seat
1,2,10,Tek Para,Chittagong,Family
1,1,9,Shekhertek,Dhaka,Bachelor Seat
2,1,10,Barisal Sadar,Barishal,Family
1,1,7,Rajshahi Sadar,Rajshahi,Family
0,1,7,Jamalpur Sadar,Mymensingh,Sublet
0,1,3,Jamalpur Sadar,Mymensingh,Sublet
1,1,9,Malibag,Dhaka,Bachelor Seat
2,1,6,Dolkhola,Khulna,Other
0,1,9,Mirpur,Dhaka,Sublet
1,2,9,Bangla Bazar,Barishal,Family
2,2,8,Sonadanga,Khulna,Family
2,2,9,Suihari,Rangpur,Family
1,1,5,Rumaliar Chara,Chittagong,Family
1,1,9,Rosulbag,Dhaka,Bachelor Seat
0,1,8,Binodpur,Rajshahi,Sublet
1,1,9,Dhanmondi,Dhaka,Bachelor Seat
3,1,10,Moulvibazar Sadar,Sylhet,Family
2,2,5,Khalifa Para,Rangpur,Family
1,1,9,Agargaon,Dhaka,Bachelor Seat
2,2,12,Dinajpur Sadar,Rangpur,Family
1,2,10,Kamar Para,Rangpur,Family
3,2,9,Baitul Aman Housing,Dhaka,Family
3,3,9,Adabor,Dhaka,Family
1,1,7,Hosenigonj,Rajshahi,Bachelor Seat
2,2,8,Meradia,Dhaka,Family
1,1,9,Moylapota,Khulna,Bachelor Seat
2,2,7,Tomaltola More,Mymensingh,Family
1,1,9,Daskhinkhan,Dhaka,Bachelor Seat
0,1,9,Bosila,Dhaka,Sublet
2,2,6,Mymensingh Sadar,Mymensingh,Family
1,1,9,Mouchak,Dhaka,Bachelor Seat
2,2,4,Mymensingh Sadar,Mymensingh,Family
1,1,8,Rajshahi Sadar,Rajshahi,Bachelor Seat
1,1,10,Mohammadpur,Dhaka,Bachelor Seat
2,1,8,Khulna Sadar,Khulna,Family
1,1,6,Boyra,Khulna,Bachelor Seat
3,2,8,Kandirpar,Chittagong,Family
2,1,9,Noboudoy Housing,Dhaka,Family
2,2,8,Kurpar,Mymensingh,Family
1,2,7,Barisal Sadar,Barishal,Family
1,1,9,Dhanmondi,Dhaka,Bachelor Room
2,1,10,Barisal Sadar,Barishal,Family
3,2,7,Outer Stadium,Mymensingh,Family
3,2,4,Dinajpur Sadar,Rangpur,Family
1,1,7,Shobuzbag,Barishal,Bachelor Seat
2,2,4,Lalbag,Rangpur,Family
2,2,8,Barisal Sadar,Barishal,Family
1,1,9,Malibag,Dhaka,Bachelor Seat
1,1,9,Rajshahi Sadar,Rajshahi,Family
0,1,2,Rangpur Sadar,Rangpur,Sublet
2,2,8,Moulvibazar Sadar,Sylhet,Family
0,1,10,Khilkhet,Dhaka,Sublet
1,1,8,Kachijhuli,Mymensingh,Bachelor Seat
1,1,9,North Badda,Dhaka,Bachelor Room
1,1,9,Natun Bazar,Dhaka,Bachelor Seat
1,1,9,Kaderabad Housing Society,Dhaka,Bachelor Seat
3,3,7,Choumohoni,Chittagong,Family
1,1,8,Chandrima Model Town,Dhaka,Family
1,1,9,Bogra Sadar,Rajshahi,Family
2,1,8,Sylhet Sadar,Sylhet,Other
1,1,8,Kushtia Sadar,Khulna,Bachelor Seat
3,2,9,Darshana More,Rangpur,Family
3,2,9,Mugda,Dhaka,Family
2,1,3,Rupatali,Barishal,Family
2,1,6,Jessore Sadar,Khulna,Family
1,1,2,Alekanda,Barishal,Bachelor Seat
1,1,7,Rangpur Sadar,Rangpur,Bachelor Room
3,2,3,Ambarkhana,Sylhet,Family
2,1,9,Adabor,Dhaka,Family
1,1,11,Rangpur Sadar,Rangpur,Family
2,1,10,Moulvibazar Sadar,Sylhet,Family
2,2,9,Mymensingh Sadar,Mymensingh,Family
3,3,9,Gulshan 1,Dhaka,Family
1,1,7,Lama Para,Sylhet,Bachelor Room
2,2,9,Sonadanga,Khulna,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Room
2,2,8,Dingadoba,Rajshahi,Family
1,1,9,Moghbazar,Dhaka,Bachelor Seat
1,1,8,West Dhanmondi,Dhaka,Bachelor Room
2,2,11,Habiganj Sadar,Sylhet,Family
1,1,8,Banasree,Dhaka,Bachelor Seat
1,1,9,Tikapara,Rajshahi,Bachelor Seat
2,1,8,Rajshahi Sadar,Rajshahi,Bachelor Seat
1,1,6,Choto Bonagram,Rajshahi,Family
2,1,5,Kashipur,Barishal,Family
0,1,8,Mohammadpur,Dhaka,Sublet
2,1,10,Naogaon Sadar,Rajshahi,Family
1,1,9,Katasur,Dhaka,Bachelor Seat
0,1,9,Middle Badda,Dhaka,Sublet
1,1,9,Nikunja 2,Dhaka,Bachelor Room
3,2,7,Rajshahi Sadar,Rajshahi,Family
1,1,8,Rampura,Dhaka,Bachelor Room
2,2,5,Chandgaon,Chittagong,Family
1,1,7,Kachijhuli,Mymensingh,Bachelor Seat
2,2,10,Boalia,Rajshahi,Family
1,1,9,Rupnagar,Dhaka,Bachelor Room
2,2,5,Cox's Bazar Sadar,Chittagong,Family
3,3,9,Bashundhara R.A,Dhaka,Family
2,1,9,Khulna Sadar,Khulna,Family
1,1,9,Siddheswari,Dhaka,Bachelor Seat
1,1,8,Nikunja 2,Dhaka,Bachelor Seat
2,1,9,Bosila,Dhaka,Family
1,1,10,Nikunja 2,Dhaka,Bachelor Seat
2,1,10,Barisal Sadar,Barishal,Family
1,1,10,Nirala,Khulna,Family
1,1,8,Shangkar,Dhaka,Bachelor Seat
3,2,8,Bhadra,Rajshahi,Other
1,1,10,Zigatola,Dhaka,Bachelor Seat
1,1,9,Sector 14,Dhaka,Bachelor Room
1,1,9,Mirpur 10,Dhaka,Bachelor Seat
1,1,8,Jalalabad,Sylhet,Bachelor Seat
1,1,9,Dinajpur Sadar,Rangpur,Bachelor Seat
2,2,7,Sonadanga,Khulna,Family
2,2,11,Shekhertek,Dhaka,Family
1,1,2,Barisal Sadar,Barishal,Bachelor Seat
1,1,8,Mohammadia Housing Society,Dhaka,Bachelor Seat
2,2,9,Kawlar,Dhaka,Family
1,1,9,Mirpur 14,Dhaka,Family
1,1,7,Shankipara,Mymensingh,Bachelor Room
1,1,9,Phulbari,Rangpur,Flat
0,1,6,Baijid bostami,Chittagong,Sublet
1,1,8,Bania Khamar,Khulna,Bachelor Seat
3,2,5,Nasirabad,Chittagong,Family
1,1,10,Bashundhara R.A,Dhaka,Bachelor Seat
1,1,9,Mouchak,Dhaka,Bachelor Room
2,2,6,Rumaliar Chara,Chittagong,Family
2,2,10,Sylhet Sadar,Sylhet,Family
1,1,6,Rangpur Sadar,Rangpur,Bachelor Seat
2,2,11,Sector 13,Dhaka,Family
2,2,3,Khasdabir,Sylhet,Family
1,1,8,Dhanmondi,Dhaka,Bachelor Seat
1,1,8,Khulna Sadar,Khulna,Family
1,1,9,Bashundhara R.A,Dhaka,Bachelor Seat
2,1,9,Mohammadpur,Dhaka,Family
0,1,9,Adabor,Dhaka,Sublet
1,1,3,Mymensingh Sadar,Mymensingh,Bachelor Seat
2,2,9,Shekhertek,Dhaka,Family
1,1,9,Azimpur,Dhaka,Bachelor Room
2,1,9,Uttarkhan,Dhaka,Family
1,1,7,Khulna Sadar,Khulna,Family
3,2,8,Rumaliar Chara,Chittagong,Family
0,1,8,Keraniganj,Dhaka,Sublet
1,1,7,Boyra,Khulna,Family
1,1,9,Mirpur 11,Dhaka,Family
4,2,9,Pabna Sadar,Rajshahi,Family
2,1,10,Barisal Sadar,Barishal,Family
3,2,9,Rangpur Sadar,Rangpur,Family
1,1,9,Satarkul,Dhaka,Bachelor Seat
4,2,7,Moulvibazar Sadar,Sylhet,Family
1,1,8,Shankipara,Mymensingh,Bachelor Seat
3,2,7,Bogra Sadar,Rajshahi,Family
2,1,6,Kawnia,Barishal,Family
2,2,9,Noboudoy Housing,Dhaka,Family
3,2,7,Kewatkhali,Mymensingh,Family
2,2,6,Bagmara,Khulna,Family
1,1,9,Middle Badda,Dhaka,Bachelor Room
2,2,7,Nathullabad,Barishal,Family
2,2,9,Dinajpur Sadar,Rangpur,Family
3,3,6,Ambarkhana,Sylhet,Family
1,1,12,Rangpur Sadar,Rangpur,Family
2,2,8,Shewrapara,Dhaka,Family
1,1,10,Sylhet Sadar,Sylhet,Bachelor Seat
1,1,10,Chankharpul,Dhaka,Bachelor Seat
2,1,8,Bagmara,Khulna,Family
4,2,1,Barisal Sadar,Barishal,Family
2,2,10,Balapara,Rangpur,Family
1,1,6,Satpai,Mymensingh,Family
2,1,6,Rangpur Sadar,Rangpur,Family
2,2,8,Satkhira Sadar,Khulna,Family
1,1,4,Moulvibazar Sadar,Sylhet,Bachelor Seat
2,2,5,Barisal Sadar,Barishal,Family
2,2,2,Munshipara,Rangpur,Family
0,1,6,Rumaliar Chara,Chittagong,Sublet
3,2,10,Rahman Nagar,Chittagong,Family
1,1,9,Faydabad,Dhaka,Bachelor Seat
2,1,9,Habiganj Sadar,Sylhet,Family
2,2,9,Banasree,Dhaka,Family
1,1,9,Sayeed Nagar,Dhaka,Bachelor Room
2,1,7,Bahaddarhat,Chittagong,Family
1,1,8,Nirala,Khulna,Bachelor Seat
2,2,1,Bou Bazar,Rangpur,Family
1,1,8,South Mourail,Chittagong,Bachelor Seat
1,1,9,Rampura,Dhaka,Bachelor Seat
2,1,8,Bogra Sadar,Rajshahi,Family
2,1,7,Baliapukur,Rajshahi,Family
2,2,6,Mymensingh Sadar,Mymensingh,Family
1,1,9,Elephant Road,Dhaka,Bachelor Seat
1,1,6,College Road,Mymensingh,Bachelor Seat
2,1,8,Rajshahi Sadar,Rajshahi,Family
1,1,10,Rangpur Sadar,Rangpur,Family
2,1,9,Sylhet Sadar,Sylhet,Family
